id,Shop,Date,Cost,Base Games,DLCs,Bundle Name
213,GOG,2012-06-30,"11,33€",Tales of Monkey Island,,
214,GOG,2012-06-19,"0,00€",Ultima: Worlds of Adventure 2: Martian Dreams,,
215,GOG,2012-06-19,"0,00€",Worlds of Ultima: The Savage Empire,,
216,GOG,2012-06-17,"4,04€",Prince of Persia: The Sands of Time,,
217,GOG,2012-06-17,"4,04€",Tom Clancy's Splinter Cell,,
218,GOG,2012-06-17,"8,09€",Assassin's Creed - Director's Cut,,
219,GOG,2012-04-29,"2,30€",Syndicate Plus,,
220,GOG,2011-12-24,"2,34€",Alien Shooter 2: Reloaded,,
221,GOG,2011-12-24,"2,34€",Populous 2: Trials of the Olympian Gods,,
222,GOG,2011-12-24,"3,91€",Tom Clancy's Ghost Recon,,
223,GOG,2011-12-24,"3,91€",Tom Clancy's Rainbow Six,,
224,GOG,2011-12-24,"2,34€",Populous,,
225,GOG,2011-12-24,"2,34€",Little Big Adventure (Relentless: Twinsen's Adventure),,
226,GOG,2011-12-24,"2,34€",SimCity 2000 Special Edition,,
227,GOG,2011-12-24,"2,34€",Desperados: Wanted Dead or Alive,,
228,GOG,2011-12-24,"2,34€",Little Big Adventure 2 (Twinsen's Odyssey),,
229,GOG,2011-12-24,"2,34€",Wing Commander: Privateer,,
230,GOG,2011-12-24,"2,34€",RollerCoaster Tycoon: Deluxe,,
231,GOG,2011-12-24,"2,34€",Sid Meier's Alpha Centauri,,
232,GOG,2011-10-18,"2,22€","Broken Sword: The Shadow of the Templars,Broken Sword: The Shadow of the Templars - Director's Cut",,
233,GOG,2011-10-18,"2,22€",Broken Sword 3: The Sleeping Dragon,,
234,GOG,2011-10-18,"2,22€","Broken Sword 2: The Smoking Mirror,Broken Sword 2: The Smoking Mirror - Remastered",,
235,GOG,2011-09-30,"3,83€",Evil Genius,,
236,GOG,2011-06-22,"2,12€","Earthworm Jim,Earthworm Jim 2",,
237,GOG,2011-06-22,"2,12€",Descent: Freespace - Battle Pack,,
238,GOG,2011-06-22,"2,12€",Giants: Citizen Kabuto,,
239,GOG,2011-06-22,"2,12€","M.A.X.: Mechanized Assault & Exploration,M.A.X. 2: Mechanised Assault & Exploration",,
240,GOG,2011-06-22,"2,12€",MDK,,
241,GOG,2011-06-22,"2,12€",MDK 2,,
242,GOG,2011-06-22,"2,12€",Shattered Steel,,
243,GOG,2010-12-18,"3,12€",The Temple of Elemental Evil,,
244,GOG,2010-12-18,"5,20€",The Settlers 2: Gold Edition,,
245,GOG,2010-12-18,"5,20€",Planescape: Torment,,
246,GOG,2010-12-18,"5,20€",Neverwinter Nights: Diamond Edition,,
247,GOG,2010-12-18,"3,12€",The Journeyman Project 2,,
248,GOG,2010-12-18,"5,20€",Icewind Dale 2 Complete,,
249,GOG,2010-12-18,"5,20€",Icewind Dale Complete,,
250,GOG,2010-12-18,"3,12€",Gabriel Knight: Sins of the Fathers,,
251,GOG,2010-12-18,"5,20€",Beyond Good and Evil,,
252,GOG,2010-12-18,"5,20€",Baldur's Gate: The Original Saga,,
253,GOG,2010-12-18,"5,20€",Baldur's Gate 2 Complete,,
254,GOG,2010-12-15,"0,00€",Tyrian 2000,,
255,GOG,2010-10-23,"5,13€",Syberia,,
256,GOG,2010-10-23,"5,13€",Syberia 2,,
257,GOG,2010-07-30,"3,86€","Commandos 2: Men of Courage,Commandos 3: Destination Berlin",,Commandos 2+3
258,GOG,2010-07-30,"2,39€","Commandos: Behind Enemy Lines,Commandos: Beyond The Call Of Duty",,Commandos Ammo Pack
259,GOG,2010-05-29,"4,96€","Master of Orion,Master of Orion 2",,Master of Orion 1+2
260,GOG,2010-05-29,"4,96€",Outcast,,
261,GOG,2010-05-29,"4,13€","Jagged Alliance 2,Jagged Alliance 2: Unfinished Business",,
262,GOG,2010-03-18,"7,47€","Another World: 15th Anniversary Edition,Another World: 20th Anniversary Edition",,
263,GOG,2010-01-24,"3,25€",The Manhole: Masterpiece Edition,,
264,GOG,2010-01-24,"3,25€",Riven: The Sequel to Myst,,
265,GOG,2010-01-24,"3,25€",Myst: Masterpiece Edition,,
266,GOG,2009-12-17,"0,00€","Tex Murphy 1 - Mean Streets,Tex Murphy 2 - Martian Memorandum",,Tex Murphy 1+2
267,GOG,2009-10-16,"6,08€",The Longest Journey,,
268,GOG,2009-10-16,"3,65€",Ground Control 2: Operation Exodus - Special Edition,,
269,GOG,2009-07-13,"4,18€",Jagged Alliance 2: Wildfire,,
